,veiculo_id,hr_ini,ping_dt,latitude_final_nr,longitude_final_nr
22257,20468,0,2023-03-13,-23.659714,-46.695244
22271,19866,0,2023-03-13,-23.502031,-46.644157
22360,19888,0,2023-03-13,-23.657991,-46.78469
22369,20920,0,2023-03-13,-23.557852,-46.64265
22375,19954,0,2023-03-13,-23.472599,-46.693535
22386,20994,0,2023-03-13,-23.43424,-46.561577
22405,20800,0,2023-03-13,-23.470535,-46.75157
22420,20724,0,2023-03-13,-23.650877,-46.748425
22495,20813,0,2023-03-13,-23.6804,-46.793888
22512,20802,0,2023-03-13,-23.645157,-46.778824
22522,19912,0,2023-03-13,-23.557041,-46.505955
22552,21006,0,2023-03-13,-23.570427,-46.763557
22587,20535,0,2023-03-13,-23.74814,-46.679268
22588,21029,0,2023-03-13,-23.590725,-46.905396
22986,19883,0,2023-03-13,-23.63046,-46.46477
23057,19873,0,2023-03-13,-23.596558,-46.48636
23069,20526,0,2023-03-13,-23.658648,-46.54861
23072,20733,0,2023-03-13,-23.61908,-46.75839
23074,20702,0,2023-03-13,-23.684912,-46.746014
23079,19960,0,2023-03-13,-23.42336,-46.713676
23109,20321,0,2023-03-13,-23.72349,-46.523075
25851,40059,0,2023-03-17,-23.739256,-46.5366
26226,39881,0,2023-03-17,-23.561556,-46.62884
26253,40039,0,2023-03-17,-23.635242,-46.793003
26881,40036,0,2023-03-17,-23.434914,-46.50726
27386,39968,0,2023-03-17,-23.571209,-46.705532
38756,19991,0,2023-03-17,-23.72924,-46.78147
38766,19981,0,2023-03-17,-23.750322,-46.78689
38953,20526,0,2023-03-17,-23.65815,-46.55788
38958,20482,0,2023-03-17,-23.539139,-46.645897
38959,20474,0,2023-03-17,-23.47292,-46.53488
38963,20454,0,2023-03-17,-23.614388,-46.74769
38997,19911,0,2023-03-17,-23.590471,-46.764683
39007,19954,0,2023-03-17,-23.672293,-46.794735
39031,20812,0,2023-03-17,-23.683537,-46.432064
39032,20801,0,2023-03-17,-23.486822,-46.688606
39056,19900,0,2023-03-17,-23.669548,-46.636456
39232,20498,0,2023-03-17,-23.558329,-46.775944
39762,21015,0,2023-03-17,-23.676268,-46.78728
39844,19884,0,2023-03-17,-23.683989,-46.501896
39849,19903,0,2023-03-17,-23.690624,-46.57421
40027,19998,0,2023-03-17,-23.554276,-46.64877
40046,19984,0,2023-03-17,-23.384268,-46.324345
40102,19958,0,2023-03-17,-23.602013,-46.67629
40147,19978,0,2023-03-17,-23.53182,-46.764637
40179,20019,0,2023-03-17,-23.672466,-46.738598
40336,19993,0,2023-03-17,-23.574526,-46.73361
40337,20007,0,2023-03-17,-23.603514,-46.68165
40485,20017,0,2023-03-17,-23.764015,-46.68772
40607,20452,0,2023-03-17,-23.497917,-46.632458
40663,20465,0,2023-03-17,-23.585365,-46.57041
40671,20698,0,2023-03-17,-23.636581,-46.780823
40698,19866,0,2023-03-17,-23.50181,-46.645107
40704,20499,0,2023-03-17,-23.49067,-46.563744
40826,20736,0,2023-03-17,-23.577114,-46.74452
40874,20733,0,2023-03-17,-23.625637,-46.747974
40902,20487,0,2023-03-17,-23.72263,-46.797417
40911,19950,0,2023-03-17,-23.51706,-46.42842
40912,19871,0,2023-03-17,-23.574686,-46.732193
40918,20807,0,2023-03-17,-23.733591,-46.775253
40929,20802,0,2023-03-17,-23.627102,-46.75425
40979,21008,0,2023-03-17,-23.678175,-46.77325
40981,19869,0,2023-03-17,-23.704983,-46.61091
40984,21012,0,2023-03-17,-23.699915,-46.8581
40986,20507,0,2023-03-17,-23.64985,-46.743023
41006,19968,0,2023-03-17,-23.608686,-46.7345
41016,20535,0,2023-03-17,-23.748804,-46.679176
41177,19999,0,2023-03-17,-23.532192,-46.42425
41271,19955,0,2023-03-17,-23.609037,-46.724163
41609,20702,0,2023-03-17,-23.684883,-46.746147
41616,39844,0,2023-03-16,-23.614511,-46.71132
42439,40068,0,2023-03-16,-23.487675,-46.562363
42440,40032,0,2023-03-16,-23.742243,-46.77848
42441,39564,0,2023-03-16,-23.35121,-46.76107
42442,40039,0,2023-03-16,-23.635256,-46.793045
42818,39968,0,2023-03-16,-23.571146,-46.705456
42888,20006,0,2023-03-16,-23.406172,-46.47894
42892,19960,0,2023-03-16,-23.484816,-46.734177
42918,19962,0,2023-03-16,-23.570642,-46.660927
42919,20014,0,2023-03-16,-23.743753,-46.80007
42996,19980,0,2023-03-16,-23.439451,-46.51464
43117,20526,0,2023-03-16,-23.668335,-46.541466
43125,20466,0,2023-03-16,-23.517899,-46.54919
43176,20805,0,2023-03-16,-23.666458,-46.76979
43224,20512,0,2023-03-16,-23.60551,-46.938316
43240,19912,0,2023-03-16,-23.557138,-46.506275
43248,21011,0,2023-03-16,-23.570772,-46.757328
43264,19957,0,2023-03-16,-23.480942,-46.65036
43452,20477,0,2023-03-16,-23.50314,-46.451324
43672,19917,0,2023-03-16,-23.503153,-46.749714
43686,19921,0,2023-03-16,-23.601046,-46.57702
43704,21017,0,2023-03-16,-23.639654,-46.770443
43713,21015,0,2023-03-16,-23.676302,-46.78732
43716,19934,0,2023-03-16,-23.651594,-46.747543
43767,19903,0,2023-03-16,-23.69069,-46.574104
44016,19991,0,2023-03-16,-23.729212,-46.78688
44018,20020,0,2023-03-16,-23.61362,-46.591164
44035,19978,0,2023-03-16,-23.531796,-46.76475
44227,19993,0,2023-03-16,-23.574543,-46.7336
44499,20473,0,2023-03-16,-23.671412,-46.63783
44506,20519,0,2023-03-16,-23.428778,-46.55593
44528,20452,0,2023-03-16,-23.497892,-46.632454
44604,20463,0,2023-03-16,-23.67508,-46.64986
44626,20450,0,2023-03-16,-23.655758,-46.781414
44630,20454,0,2023-03-16,-23.614355,-46.74758
44778,20736,0,2023-03-16,-23.577171,-46.744568
44792,20724,0,2023-03-16,-23.650993,-46.74856
44793,19948,0,2023-03-16,-23.542225,-46.87926
44847,19900,0,2023-03-16,-23.669697,-46.6364
44875,20487,0,2023-03-16,-23.722637,-46.79747
44886,19871,0,2023-03-16,-23.574663,-46.73224
44891,20807,0,2023-03-16,-23.733652,-46.775448
44913,19982,0,2023-03-16,-23.524408,-46.735306
44940,19878,0,2023-03-16,-23.48034,-46.62088
44944,21006,0,2023-03-16,-23.570366,-46.763615
44947,20462,0,2023-03-16,-23.626076,-46.807133
44967,19968,0,2023-03-16,-23.60873,-46.734596
44980,20535,0,2023-03-16,-23.74809,-46.67922
44992,19973,0,2023-03-16,-23.736174,-46.688965
45187,20518,0,2023-03-16,-23.63369,-46.669807
45330,21030,0,2023-03-16,-23.671947,-46.69523
45353,19873,0,2023-03-16,-23.597054,-46.486237
45394,20702,0,2023-03-16,-23.684826,-46.74616
48545,20006,1,2023-03-15,-23.40615,-46.455685
48654,20344,1,2023-03-15,-23.755312,-46.658813
48664,20355,1,2023-03-15,-23.570028,-46.705574
48678,19912,1,2023-03-15,-23.557077,-46.506218
48680,21011,1,2023-03-15,-23.569336,-46.75761
48681,21006,1,2023-03-15,-23.57041,-46.763535
49111,19925,1,2023-03-15,-23.57279,-46.798786
49134,21016,1,2023-03-15,-23.690807,-46.793724
49407,19930,1,2023-03-15,-23.718573,-46.580032
49446,19987,1,2023-03-15,-23.67371,-46.478764
49541,20014,1,2023-03-15,-23.743385,-46.800613
49570,20016,1,2023-03-15,-23.629438,-46.674942
49571,19961,1,2023-03-15,-23.64544,-46.65986
50064,19985,1,2023-03-15,-23.698547,-46.780422
50070,20452,1,2023-03-15,-23.497995,-46.632446
50123,20799,1,2023-03-15,-23.574675,-46.732243
50133,20700,1,2023-03-15,-23.683327,-46.75763
50138,20463,1,2023-03-15,-23.602173,-46.786747
50157,20450,1,2023-03-15,-23.655733,-46.78145
50159,20454,1,2023-03-15,-23.614418,-46.747654
50164,21000,1,2023-03-15,-23.468811,-46.703487
50254,19888,1,2023-03-15,-23.657948,-46.784576
50256,20805,1,2023-03-15,-23.672657,-46.763992
50266,21002,1,2023-03-15,-23.745277,-46.805172
50267,20920,1,2023-03-15,-23.557873,-46.64273
50288,20994,1,2023-03-15,-23.434141,-46.561485
50314,20800,1,2023-03-15,-23.47647,-46.761017
50316,21004,1,2023-03-15,-23.461355,-46.68528
50329,20724,1,2023-03-15,-23.650934,-46.748405
50330,19948,1,2023-03-15,-23.542171,-46.879208
50332,19952,1,2023-03-15,-23.7708,-46.699806
50367,19900,1,2023-03-15,-23.669647,-46.636337
50368,20282,1,2023-03-15,-23.463533,-46.878223
50394,20487,1,2023-03-15,-23.722767,-46.797665
50412,20807,1,2023-03-15,-23.733707,-46.775322
50473,19920,1,2023-03-15,-23.589785,-46.397312
50520,20321,1,2023-03-15,-23.723743,-46.522713
50793,20518,1,2023-03-15,-23.633577,-46.669823
51032,19903,1,2023-03-15,-23.690645,-46.574097
51049,20809,1,2023-03-15,-23.689384,-46.775467
52588,39978,1,2023-03-15,-23.570158,-46.705482
53531,40036,1,2023-03-15,-23.434801,-46.507313
55595,21004,1,2023-03-14,-23.46146,-46.68523
55715,21008,1,2023-03-14,-23.595247,-46.568863
56692,21011,1,2023-03-14,-23.569324,-46.76568
56736,21029,1,2023-03-14,-23.590738,-46.905663
56904,21017,1,2023-03-14,-23.639757,-46.77787
66433,19961,1,2023-03-14,-23.64571,-46.659035
66498,20466,1,2023-03-14,-23.519102,-46.549145
66504,20696,1,2023-03-14,-23.716764,-46.779114
66761,19977,1,2023-03-14,-23.561256,-46.57876
66780,19984,1,2023-03-14,-23.384237,-46.324383
66791,19970,1,2023-03-14,-23.580982,-46.717194
66793,19987,1,2023-03-14,-23.673544,-46.47877
66859,19979,1,2023-03-14,-23.776876,-46.70028
66890,19991,1,2023-03-14,-23.740696,-46.79692
66920,19978,1,2023-03-14,-23.531736,-46.76485
66947,20019,1,2023-03-14,-23.672527,-46.73847
67143,20007,1,2023-03-14,-23.603497,-46.681625
67281,19986,1,2023-03-14,-23.460196,-46.685696
67282,20017,1,2023-03-14,-23.764055,-46.687756
67336,20012,1,2023-03-14,-23.46957,-46.900387
67371,20497,1,2023-03-14,-23.69321,-46.91334
67419,20526,1,2023-03-14,-23.658327,-46.557224
67422,20465,1,2023-03-14,-23.585217,-46.570568
67432,20698,1,2023-03-14,-23.75266,-46.656128
67435,20510,1,2023-03-14,-23.670265,-46.746243
67439,20482,1,2023-03-14,-23.65689,-46.636993
67444,20470,1,2023-03-14,-23.575558,-46.717075
67448,19931,1,2023-03-14,-23.592916,-46.76921
67449,19866,1,2023-03-14,-23.501654,-46.64496
67510,19880,1,2023-03-14,-23.654509,-46.66657
67585,20355,1,2023-03-14,-23.532616,-46.980385
67587,20724,1,2023-03-14,-23.650942,-46.74843
67611,20001,1,2023-03-14,-23.447401,-46.724674
67626,20512,1,2023-03-14,-23.74481,-46.712296
67659,19950,1,2023-03-14,-23.517017,-46.428406
67695,20702,1,2023-03-14,-23.684916,-46.746014
67757,19957,1,2023-03-14,-23.48099,-46.650208
67767,19945,1,2023-03-14,-23.451681,-46.579353
67924,20498,1,2023-03-14,-23.496769,-46.74631
68222,19955,1,2023-03-14,-23.60911,-46.724144
68561,19917,1,2023-03-14,-23.520271,-46.749355
68613,20457,1,2023-03-14,-23.545927,-46.648666
68633,19936,1,2023-03-14,-23.561157,-46.58932
68661,20018,1,2023-03-14,-23.543293,-46.699192
68721,19873,1,2023-03-14,-23.597,-46.486393
68821,19958,1,2023-03-13,-23.56087,-46.691063
68824,20020,1,2023-03-13,-23.607452,-46.596058
68935,20526,1,2023-03-13,-23.658072,-46.548405
68970,20809,1,2023-03-13,-23.689426,-46.775486
69089,20498,1,2023-03-13,-23.49718,-46.74649
69355,21014,1,2023-03-13,-23.500895,-46.77491
69459,19917,1,2023-03-13,-23.520247,-46.749256
69777,19977,1,2023-03-13,-23.561106,-46.57889
69885,20015,1,2023-03-13,-23.543552,-46.868286
69909,20025,1,2023-03-13,-23.710287,-46.6406
69932,20019,1,2023-03-13,-23.672543,-46.738503
70121,19980,1,2023-03-13,-23.439388,-46.51686
70402,19985,1,2023-03-13,-23.698654,-46.780228
70472,20799,1,2023-03-13,-23.574667,-46.7322
70498,20468,1,2023-03-13,-23.659702,-46.69525
70501,20470,1,2023-03-13,-23.575476,-46.71699
70502,20461,1,2023-03-13,-23.620909,-46.728756
70515,20450,1,2023-03-13,-23.655758,-46.781475
70519,19866,1,2023-03-13,-23.501812,-46.64508
70528,21000,1,2023-03-13,-23.468662,-46.70321
70578,20009,1,2023-03-13,-23.658682,-46.703136
70610,19880,1,2023-03-13,-23.654634,-46.666344
70679,20355,1,2023-03-13,-23.570187,-46.70548
70725,20282,1,2023-03-13,-23.537954,-46.811234
70753,20487,1,2023-03-13,-23.722715,-46.798355
70758,19950,1,2023-03-13,-23.516968,-46.42837
70822,21006,1,2023-03-13,-23.57042,-46.7636
70824,21012,1,2023-03-13,-23.699924,-46.85808
70825,19920,1,2023-03-13,-23.589836,-46.397343
70826,20507,1,2023-03-13,-23.649885,-46.743027
70827,20462,1,2023-03-13,-23.626041,-46.807022
70859,19957,1,2023-03-13,-23.48099,-46.650234
70870,20321,1,2023-03-13,-23.72353,-46.523056
70871,19945,1,2023-03-13,-23.452667,-46.57958
71104,19955,1,2023-03-13,-23.609121,-46.724216
71389,19878,1,2023-03-13,-23.48037,-46.62091
71403,19960,1,2023-03-13,-23.423384,-46.713676
74268,39881,1,2023-03-17,-23.563627,-46.625523
74284,40064,1,2023-03-17,-23.623833,-46.79361
75042,40032,1,2023-03-17,-23.742117,-46.7786
75043,40034,1,2023-03-17,-23.484114,-46.68096
75044,40059,1,2023-03-17,-23.73918,-46.53661
75046,40061,1,2023-03-17,-23.581778,-46.752518
75581,40078,1,2023-03-17,-23.423412,-46.713806
87039,20526,1,2023-03-17,-23.64665,-46.54159
87043,20482,1,2023-03-17,-23.634335,-46.636967
87083,20812,1,2023-03-17,-23.683752,-46.432446
87294,19999,1,2023-03-17,-23.532192,-46.424347
